title	author	status	started	finished
Dark Matter	Blake Crouch	read	Mon Apr 24 2017 02:00:00 GMT-0500 (Central Daylight Time)	Mon Apr 24 2017 06:24:44 GMT-0500 (Central Daylight Time)
Paradise Lost & Paradise Regained	John Milton	read	Sat Apr 15 2017 02:00:00 GMT-0500 (Central Daylight Time)	Sat Apr 15 2017 18:56:52 GMT-0500 (Central Daylight Time)
Saga, Volume 7	TKTK	read	Thu Apr 13 2017 06:41:44 GMT-0500 (Central Daylight Time)	Sat Apr 15 2017 18:05:48 GMT-0500 (Central Daylight Time)
Orlando: A Biography	Virginia Woolf	read	Sun Mar 12 2017 15:32:57 GMT-0500 (Central Daylight Time)	Thu Apr 13 2017 06:37:52 GMT-0500 (Central Daylight Time)
Saga, Volume 6	TKTK	read	Sun Mar 26 2017 22:11:55 GMT-0500 (Central Daylight Time)	Sun Mar 26 2017 22:12:35 GMT-0500 (Central Daylight Time)
Welcome to Night Vale (Welcome to Night Vale, #1)	Joseph Fink	read	Tue Feb 28 2017 08:51:46 GMT-0600 (Central Standard Time)	Mon Mar 13 2017 22:58:18 GMT-0500 (Central Daylight Time)
Waiting for the Barbarians	J.M. Coetzee	read	Sun Jan 29 2017 02:00:00 GMT-0600 (Central Standard Time)	Tue Feb 07 2017 02:00:00 GMT-0600 (Central Standard Time)
Making Sense of God: An Invitation to the Skeptical	Timothy J. Keller	read	Sat Nov 12 2016 11:14:15 GMT-0600 (Central Standard Time)	Sun Jan 29 2017 20:28:44 GMT-0600 (Central Standard Time)
Of Mice and Men	John Steinbeck	read	Tue Jan 17 2017 19:36:22 GMT-0600 (Central Standard Time)	Fri Jan 27 2017 18:06:43 GMT-0600 (Central Standard Time)
Saga, Volume 5	TKTK	read	Wed Jan 11 2017 21:10:36 GMT-0600 (Central Standard Time)	Thu Jan 12 2017 09:06:38 GMT-0600 (Central Standard Time)
Saga, Volume 4	TKTK	read	Wed Jan 11 2017 21:08:27 GMT-0600 (Central Standard Time)	Thu Jan 12 2017 08:59:07 GMT-0600 (Central Standard Time)
Saga, Volume 3	TKTK	read	Wed Jan 11 2017 21:08:11 GMT-0600 (Central Standard Time)	Thu Jan 12 2017 08:58:51 GMT-0600 (Central Standard Time)
Jacksonland: President Andrew Jackson, Cherokee Chief John Ross, and a Great American Land Grab	Steve Inskeep	read	Mon Dec 19 2016 09:08:47 GMT-0600 (Central Standard Time)	Wed Jan 11 2017 07:28:51 GMT-0600 (Central Standard Time)
The Master and Margarita	TKTK	read	Sat Nov 05 2016 20:00:38 GMT-0500 (Central Daylight Time)	Sat Dec 31 2016 13:59:24 GMT-0600 (Central Standard Time)
The Book of Strange New Things	Michel Faber	read	Sat Nov 19 2016 02:00:00 GMT-0600 (Central Standard Time)	Fri Dec 16 2016 08:42:47 GMT-0600 (Central Standard Time)
1776	David McCullough	read	Tue Oct 25 2016 17:01:37 GMT-0500 (Central Daylight Time)	Sat Nov 12 2016 17:03:53 GMT-0600 (Central Standard Time)
A Clockwork Orange	TKTK	read	Fri Oct 28 2016 17:33:22 GMT-0500 (Central Daylight Time)	Sat Nov 05 2016 19:42:55 GMT-0500 (Central Daylight Time)
Magic and Loss: The Internet as Art	Virginia Heffernan	read	Tue Oct 04 2016 22:30:06 GMT-0500 (Central Daylight Time)	Wed Oct 26 2016 20:35:18 GMT-0500 (Central Daylight Time)
The Big Short: Inside the Doomsday Machine	Michael   Lewis	read	Tue Oct 25 2016 16:59:45 GMT-0500 (Central Daylight Time)	Tue Oct 25 2016 17:02:08 GMT-0500 (Central Daylight Time)
Cloud Atlas	David Mitchell	read	Wed Sep 07 2016 22:17:56 GMT-0500 (Central Daylight Time)	Thu Oct 13 2016 14:21:50 GMT-0500 (Central Daylight Time)
A Canticle for Leibowitz	Walter M. Miller Jr.	read	Wed Sep 14 2016 21:30:14 GMT-0500 (Central Daylight Time)	Sun Oct 02 2016 22:02:51 GMT-0500 (Central Daylight Time)
The Handmaid's Tale (The Handmaid's Tale, #1)	TKTK	read	Tue Aug 16 2016 20:06:35 GMT-0500 (Central Daylight Time)	Sun Sep 11 2016 22:19:57 GMT-0500 (Central Daylight Time)
Flash Boys: A Wall Street Revolt	Michael   Lewis	read	Mon Aug 01 2016 15:19:43 GMT-0500 (Central Daylight Time)	Tue Aug 16 2016 20:05:11 GMT-0500 (Central Daylight Time)
The Violent Bear It Away	Flannery O'Connor	read	Sat Aug 13 2016 22:50:54 GMT-0500 (Central Daylight Time)	Sun Aug 14 2016 19:13:47 GMT-0500 (Central Daylight Time)
American Gods	TKTK	read	Sun Apr 10 2016 08:32:36 GMT-0500 (Central Daylight Time)	Thu Aug 11 2016 06:01:51 GMT-0500 (Central Daylight Time)
Zero K	Don DeLillo	read	Mon Jul 11 2016 09:44:19 GMT-0500 (Central Daylight Time)	Wed Jul 27 2016 19:15:53 GMT-0500 (Central Daylight Time)
Wolf Hall	Hilary Mantel	read	--	Mon Jul 11 2016 09:43:05 GMT-0500 (Central Daylight Time)
Wolf Hall (Thomas Cromwell, #1)	TKTK	read	Tue Jun 07 2016 02:00:00 GMT-0500 (Central Daylight Time)	Mon Jul 11 2016 09:43:05 GMT-0500 (Central Daylight Time)
The Man in the High Castle	Philip K. Dick	read	Mon Jun 13 2016 12:22:06 GMT-0500 (Central Daylight Time)	Sat Jun 18 2016 17:22:00 GMT-0500 (Central Daylight Time)
Disrupted: My Misadventure in the Start-Up Bubble	Dan Lyons	read	Sat Jun 11 2016 17:33:43 GMT-0500 (Central Daylight Time)	Sun Jun 12 2016 23:52:27 GMT-0500 (Central Daylight Time)
Chimera	John Barth	read	Wed May 18 2016 18:58:53 GMT-0500 (Central Daylight Time)	Tue Jun 07 2016 07:53:04 GMT-0500 (Central Daylight Time)
Building Data Science Teams	TKTK	read	Mon May 23 2016 12:08:33 GMT-0500 (Central Daylight Time)	Thu May 26 2016 07:38:11 GMT-0500 (Central Daylight Time)
Think Python	Allen B. Downey	read	Tue May 10 2016 02:00:00 GMT-0500 (Central Daylight Time)	Mon May 23 2016 08:01:46 GMT-0500 (Central Daylight Time)
Technopoly: The Surrender of Culture to Technology	Neil Postman	read	Thu Apr 21 2016 07:55:30 GMT-0500 (Central Daylight Time)	Sun May 15 2016 10:49:16 GMT-0500 (Central Daylight Time)
Fight Club	Chuck Palahniuk	read	Mon May 09 2016 08:11:20 GMT-0500 (Central Daylight Time)	Mon May 09 2016 18:55:10 GMT-0500 (Central Daylight Time)
Analyzing the Analyzers	TKTK	read	Sat Apr 30 2016 13:25:29 GMT-0500 (Central Daylight Time)	Sun May 01 2016 20:16:00 GMT-0500 (Central Daylight Time)
Something Happened	Joseph Heller	read	Wed Feb 10 2016 07:00:00 GMT-0600 (Central Standard Time)	Wed Apr 20 2016 20:32:36 GMT-0500 (Central Daylight Time)
Wise Blood	TKTK	read	Sat Mar 26 2016 02:00:00 GMT-0500 (Central Daylight Time)	Sun Apr 10 2016 08:31:41 GMT-0500 (Central Daylight Time)
The Signal and the Noise: Why So Many Predictions Fail - But Some Don't	Nate Silver	read	--	Sat Mar 26 2016 17:15:44 GMT-0500 (Central Daylight Time)
The Signal and the Noise: Why So Many Predictions Fail—But Some Don't	TKTK	read	Mon Feb 08 2016 02:00:00 GMT-0600 (Central Standard Time)	Sat Mar 26 2016 17:15:44 GMT-0500 (Central Daylight Time)
Let the Great World Spin	Colum McCann	read	Mon Jan 04 2016 11:08:46 GMT-0600 (Central Standard Time)	Sun Feb 07 2016 23:20:26 GMT-0600 (Central Standard Time)
The Wedding	Stanisław Wyspiański	read	Sun Jan 24 2016 23:11:35 GMT-0600 (Central Standard Time)	Sat Jan 30 2016 13:16:12 GMT-0600 (Central Standard Time)
Dune (Dune Chronicles, #1)	TKTK	read	Fri Dec 04 2015 23:54:15 GMT-0600 (Central Standard Time)	Sat Jan 23 2016 15:10:43 GMT-0600 (Central Standard Time)
JR	William Gaddis	read	Thu Dec 25 2014 02:00:00 GMT-0600 (Central Standard Time)	Tue Jan 12 2016 18:00:00 GMT-0600 (Central Standard Time)
In the Land of Invented Languages: Adventures in Linguistic Creativity, Madness, and Genius	Arika Okrent	read	Sun Nov 29 2015 22:37:52 GMT-0600 (Central Standard Time)	Tue Dec 22 2015 18:37:37 GMT-0600 (Central Standard Time)
Harry Potter and the Sorcerer's Stone	TKTK	read	Wed Nov 11 2015 02:00:00 GMT-0600 (Central Standard Time)	Sat Dec 05 2015 23:36:11 GMT-0600 (Central Standard Time)
Silence of the Lambs	Thomas  Harris	read	--	Mon Nov 23 2015 20:38:55 GMT-0600 (Central Standard Time)
The Silence of the Lambs	TKTK	read	Wed Nov 04 2015 21:48:08 GMT-0600 (Central Standard Time)	Mon Nov 23 2015 20:38:55 GMT-0600 (Central Standard Time)
Infinite Jest	David Foster Wallace	read	Mon May 11 2015 19:49:25 GMT-0500 (Central Daylight Time)	Wed Nov 11 2015 17:48:29 GMT-0600 (Central Standard Time)
The Unbearable Lightness of Being	TKTK	read	Fri Oct 16 2015 08:07:09 GMT-0500 (Central Daylight Time)	Wed Nov 04 2015 21:28:35 GMT-0600 (Central Standard Time)
The Dalkey Archive	Flann O'Brien	read	Tue Oct 13 2015 10:11:21 GMT-0500 (Central Daylight Time)	Thu Oct 15 2015 18:03:10 GMT-0500 (Central Daylight Time)
Foundation (Foundation, #1)	Isaac Asimov	read	Thu Sep 24 2015 21:51:00 GMT-0500 (Central Daylight Time)	Thu Oct 08 2015 00:59:33 GMT-0500 (Central Daylight Time)
Miss Lonelyhearts	TKTK	read	Thu Sep 17 2015 02:00:00 GMT-0500 (Central Daylight Time)	Wed Sep 23 2015 02:00:00 GMT-0500 (Central Daylight Time)
A Man Without a Country	Kurt Vonnegut	read	Mon Sep 14 2015 07:45:05 GMT-0500 (Central Daylight Time)	Wed Sep 16 2015 09:40:45 GMT-0500 (Central Daylight Time)
A Scanner Darkly	Philip K. Dick	read	Tue Jul 28 2015 00:19:54 GMT-0500 (Central Daylight Time)	Tue Jul 28 2015 23:43:52 GMT-0500 (Central Daylight Time)
The Enchanted April	TKTK	read	Fri May 01 2015 16:53:13 GMT-0500 (Central Daylight Time)	Tue Jul 21 2015 17:51:55 GMT-0500 (Central Daylight Time)
Freedom	Jonathan Franzen	read	Mon Mar 23 2015 22:56:41 GMT-0500 (Central Daylight Time)	Wed May 06 2015 23:01:52 GMT-0500 (Central Daylight Time)
Arsène Lupin, Gentleman-Thief (Arsène Lupin, #1)	TKTK	read	Fri Mar 06 2015 07:15:13 GMT-0600 (Central Standard Time)	Tue Apr 14 2015 11:35:30 GMT-0500 (Central Daylight Time)
Tuesdays with Morrie	Mitch Albom	read	Mon Apr 06 2015 17:21:20 GMT-0500 (Central Daylight Time)	Mon Apr 06 2015 17:21:20 GMT-0500 (Central Daylight Time)
The Sense of an Ending	Julian Barnes	read	Sun Mar 22 2015 22:30:21 GMT-0500 (Central Daylight Time)	Mon Mar 23 2015 22:28:11 GMT-0500 (Central Daylight Time)
The Day of the Locust	TKTK	read	Sun Mar 08 2015 23:19:31 GMT-0500 (Central Daylight Time)	Mon Mar 16 2015 16:34:27 GMT-0500 (Central Daylight Time)
To Kill a Mockingbird	TKTK	read	Tue Nov 11 2014 12:49:08 GMT-0600 (Central Standard Time)	Thu Mar 12 2015 15:51:40 GMT-0500 (Central Daylight Time)
The Picture of Dorian Gray	Oscar Wilde	read	Tue Nov 18 2014 11:58:38 GMT-0600 (Central Standard Time)	Tue Jan 20 2015 16:24:41 GMT-0600 (Central Standard Time)
The Crisis of the European Union: A Response	Jürgen Habermas	read	Wed Dec 24 2014 00:35:25 GMT-0600 (Central Standard Time)	Wed Dec 24 2014 00:35:25 GMT-0600 (Central Standard Time)
The Double	Fyodor Dostoyevsky	read	Sat Aug 30 2014 15:10:57 GMT-0500 (Central Daylight Time)	Wed Dec 24 2014 00:21:31 GMT-0600 (Central Standard Time)
Wolf in White Van	John Darnielle	read	Mon Dec 01 2014 16:03:16 GMT-0600 (Central Standard Time)	Tue Dec 09 2014 19:04:55 GMT-0600 (Central Standard Time)
Bleak House	Charles Dickens	read	Sat Oct 11 2014 11:17:28 GMT-0500 (Central Daylight Time)	Fri Nov 28 2014 11:23:06 GMT-0600 (Central Standard Time)
Mere Christianity	TKTK	read	Tue Nov 11 2014 12:51:38 GMT-0600 (Central Standard Time)	Tue Nov 11 2014 12:51:38 GMT-0600 (Central Standard Time)
The Problem of Pain	TKTK	read	Tue Nov 11 2014 12:51:29 GMT-0600 (Central Standard Time)	Tue Nov 11 2014 12:51:29 GMT-0600 (Central Standard Time)
Herbert West: Reanimator	H.P. Lovecraft	read	--	Tue Nov 11 2014 08:55:30 GMT-0600 (Central Standard Time)
Herbert West—Reanimator	TKTK	read	Tue Nov 04 2014 18:27:02 GMT-0600 (Central Standard Time)	Tue Nov 11 2014 08:55:30 GMT-0600 (Central Standard Time)
Bleeding Edge	Thomas Pynchon	read	Fri Sep 12 2014 10:24:49 GMT-0500 (Central Daylight Time)	Sun Sep 28 2014 16:55:13 GMT-0500 (Central Daylight Time)
For Whom the Bell Tolls	TKTK	read	Tue Sep 02 2014 02:00:00 GMT-0500 (Central Daylight Time)	Thu Sep 11 2014 11:17:26 GMT-0500 (Central Daylight Time)
Middlesex	TKTK	read	Sat Aug 23 2014 02:00:00 GMT-0500 (Central Daylight Time)	Thu Aug 28 2014 02:00:00 GMT-0500 (Central Daylight Time)
Lost in the Funhouse	John Barth	read	Sun Aug 17 2014 23:34:48 GMT-0500 (Central Daylight Time)	Fri Aug 22 2014 13:26:36 GMT-0500 (Central Daylight Time)
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	read	Tue Jun 17 2014 22:35:05 GMT-0500 (Central Daylight Time)	Mon Aug 18 2014 17:24:18 GMT-0500 (Central Daylight Time)
East of Eden	John Steinbeck	read	Sun Aug 03 2014 02:00:00 GMT-0500 (Central Daylight Time)	Sun Aug 17 2014 02:00:00 GMT-0500 (Central Daylight Time)
A Handful of Dust	Evelyn Waugh	read	Tue Jul 29 2014 02:00:00 GMT-0500 (Central Daylight Time)	Thu Jul 31 2014 02:00:00 GMT-0500 (Central Daylight Time)
The Confidence-Man: His Masquerade	Herman Melville	read	Tue Jun 17 2014 02:00:00 GMT-0500 (Central Daylight Time)	Mon Jul 28 2014 02:00:00 GMT-0500 (Central Daylight Time)
V for Vendetta	Alan Moore	read	Tue Jul 15 2014 23:46:21 GMT-0500 (Central Daylight Time)	Thu Jul 24 2014 16:29:23 GMT-0500 (Central Daylight Time)
The Hobbit, or There and Back Again	J.R.R. Tolkien	read	Tue Jul 15 2014 21:32:46 GMT-0500 (Central Daylight Time)	Tue Jul 15 2014 21:32:46 GMT-0500 (Central Daylight Time)
Around the World in Eighty Days	Jules Verne	read	Mon May 19 2014 15:19:12 GMT-0500 (Central Daylight Time)	Tue Jul 15 2014 17:33:18 GMT-0500 (Central Daylight Time)
Batman: The Dark Knight Returns	Frank Miller	read	Wed Jun 25 2014 18:40:41 GMT-0500 (Central Daylight Time)	Wed Jun 25 2014 20:58:45 GMT-0500 (Central Daylight Time)
S.	J.J. Abrams	read	Mon Jun 02 2014 07:29:11 GMT-0500 (Central Daylight Time)	Tue Jun 17 2014 21:48:52 GMT-0500 (Central Daylight Time)
So Long a Letter	Mariama Bâ	read	Sun Jun 01 2014 13:20:36 GMT-0500 (Central Daylight Time)	Sun Jun 01 2014 13:20:36 GMT-0500 (Central Daylight Time)
Political Theology: Four Chapters on the Concept of Sovereignty	Carl Schmitt	read	Sun Jun 01 2014 13:20:28 GMT-0500 (Central Daylight Time)	Sun Jun 01 2014 13:20:28 GMT-0500 (Central Daylight Time)
L'amour dure trois ans (Marc Marronnier, #3)	Frédéric Beigbeder	read	Sun Jun 01 2014 13:20:12 GMT-0500 (Central Daylight Time)	Sun Jun 01 2014 13:20:12 GMT-0500 (Central Daylight Time)
The Prose Edda	Snorri Sturluson	read	Sun Jun 01 2014 02:00:00 GMT-0500 (Central Daylight Time)	Sun Jun 01 2014 13:15:54 GMT-0500 (Central Daylight Time)
Sad Little Breathing Machine	Matthea Harvey	read	Wed May 28 2014 09:40:34 GMT-0500 (Central Daylight Time)	Wed May 28 2014 23:00:15 GMT-0500 (Central Daylight Time)
Coriolanus	William Shakespeare	read	Mon Apr 28 2014 02:00:00 GMT-0500 (Central Daylight Time)	Mon May 12 2014 09:23:19 GMT-0500 (Central Daylight Time)
The Doors of Perception and Heaven and Hell	Aldous Huxley	read	Fri Mar 28 2014 02:00:00 GMT-0500 (Central Daylight Time)	Sun May 04 2014 18:09:59 GMT-0500 (Central Daylight Time)
Blood Meridian, or the Evening Redness in the West	Cormac McCarthy	read	Sat Mar 29 2014 02:00:00 GMT-0500 (Central Daylight Time)	Thu May 01 2014 02:00:00 GMT-0500 (Central Daylight Time)
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)	TKTK	read	Tue Apr 01 2014 02:00:00 GMT-0500 (Central Daylight Time)	Wed Apr 02 2014 12:23:37 GMT-0500 (Central Daylight Time)
On the Road	Jack Kerouac	read	Mon Mar 31 2014 02:00:00 GMT-0500 (Central Daylight Time)	Mon Mar 31 2014 15:18:21 GMT-0500 (Central Daylight Time)
Eat, Pray, Love	Elizabeth Gilbert	read	Tue Mar 25 2014 02:00:00 GMT-0500 (Central Daylight Time)	Fri Mar 28 2014 02:00:00 GMT-0500 (Central Daylight Time)
Underworld	Don DeLillo	read	Tue Dec 24 2013 22:26:15 GMT-0600 (Central Standard Time)	Mon Mar 24 2014 10:11:23 GMT-0500 (Central Daylight Time)
Contingency, Irony, and Solidarity	Richard M. Rorty	read	Tue Mar 11 2014 00:17:28 GMT-0500 (Central Daylight Time)	Fri Mar 21 2014 12:16:42 GMT-0500 (Central Daylight Time)
Something Fresh (Blandings Castle, #1)	P.G. Wodehouse	read	Tue Mar 11 2014 00:16:29 GMT-0500 (Central Daylight Time)	Fri Mar 21 2014 12:16:10 GMT-0500 (Central Daylight Time)
Justice and the Politics of Difference	Iris Marion Young	read	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)
Two Cheers for Anarchism: Six Easy Pieces on Autonomy, Dignity and Meaningful Work and Play	James C. Scott	read	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)
Society Against the State: Essays in Political Anthropology	Pierre Clastres	read	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)
Visions of Politics, Volume I: Regarding Method	Quentin Skinner	read	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)
Aerial Life: Spaces, Mobilities, Affects	Peter Adey	read	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)	Sun Feb 23 2014 02:00:00 GMT-0600 (Central Standard Time)
On the Internet	Hubert L. Dreyfus	read	Thu Dec 26 2013 00:25:22 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:25:22 GMT-0600 (Central Standard Time)
The Railway Journey: The Industrialization and Perception of Time and Space	Wolfgang Schivelbusch	read	Thu Dec 26 2013 00:25:15 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:25:15 GMT-0600 (Central Standard Time)
War in the Age of Intelligent Machines	Manuel DeLanda	read	Thu Dec 26 2013 00:25:11 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:25:11 GMT-0600 (Central Standard Time)
Technology as Magic: The Triumph of the Irrational	Richard Stivers	read	Thu Dec 26 2013 00:25:09 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:25:09 GMT-0600 (Central Standard Time)
Mark Z. Danielewski's The Whalestoe Letters	Mark Z. Danielewski	read	--	Thu Dec 26 2013 00:25:07 GMT-0600 (Central Standard Time)
The Whalestoe Letters	TKTK	read	Thu Dec 26 2013 00:25:07 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:25:07 GMT-0600 (Central Standard Time)
Windows On The World	Frédéric Beigbeder	read	--	Thu Dec 26 2013 00:24:57 GMT-0600 (Central Standard Time)
Windows On The World (In French)	TKTK	read	Thu Dec 26 2013 00:24:57 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:24:57 GMT-0600 (Central Standard Time)
Nouvelles sous ecstasy	Frédéric Beigbeder	read	Thu Dec 26 2013 00:24:52 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:24:52 GMT-0600 (Central Standard Time)
Lives In Translation: Bilingual Writers On Identity And Creativity	Isabelle De Courtivron	read	Thu Dec 26 2013 00:24:42 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:24:42 GMT-0600 (Central Standard Time)
Multilingual Europe: Facts and Policies	Guus Extra	read	Thu Dec 26 2013 00:24:37 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:24:37 GMT-0600 (Central Standard Time)
Waiting for Godot: A Bilingual Edition	TKTK	read	Thu Dec 26 2013 00:24:28 GMT-0600 (Central Standard Time)	Thu Dec 26 2013 00:24:30 GMT-0600 (Central Standard Time)
En Attendant Godot	Samuel Beckett	read	--	Thu Dec 26 2013 00:24:28 GMT-0600 (Central Standard Time)
The Abolition of Man	C.S. Lewis	read	Fri Dec 20 2013 02:00:00 GMT-0600 (Central Standard Time)	Fri Dec 20 2013 12:43:58 GMT-0600 (Central Standard Time)
Fiesta: The Sun Also Rises	TKTK	read	Thu Dec 19 2013 02:00:00 GMT-0600 (Central Standard Time)	Thu Dec 19 2013 17:26:17 GMT-0600 (Central Standard Time)
Six Plays of Strindberg: The Father / Miss Julie / The Stronger / Easter / A Dream Play / The Ghost Sonata	August Strindberg	read	Tue Sep 24 2013 02:00:00 GMT-0500 (Central Daylight Time)	Thu Dec 19 2013 02:00:00 GMT-0600 (Central Standard Time)
Discipline and Punish: The Birth of the Prison	Michel Foucault	read	Mon Nov 25 2013 02:00:00 GMT-0600 (Central Standard Time)	Mon Nov 25 2013 02:00:00 GMT-0600 (Central Standard Time)
The Crying of Lot 49	Thomas Pynchon	read	Thu Sep 19 2013 02:00:00 GMT-0500 (Central Daylight Time)	Mon Sep 23 2013 11:14:22 GMT-0500 (Central Daylight Time)
The Lesson of the Master	Henry James	read	Tue Sep 17 2013 02:00:00 GMT-0500 (Central Daylight Time)	Wed Sep 18 2013 11:49:24 GMT-0500 (Central Daylight Time)
Ill Seen Ill Said	Samuel Beckett	read	Sat Sep 14 2013 02:00:00 GMT-0500 (Central Daylight Time)	Sun Sep 15 2013 12:30:46 GMT-0500 (Central Daylight Time)
The Inferno	TKTK	read	Wed Sep 11 2013 02:00:00 GMT-0500 (Central Daylight Time)	Sat Sep 14 2013 02:32:13 GMT-0500 (Central Daylight Time)
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	TKTK	read	Tue Mar 26 2013 02:00:00 GMT-0500 (Central Daylight Time)	Wed Sep 11 2013 15:50:49 GMT-0500 (Central Daylight Time)
The Corrections	Jonathan Franzen	read	Wed Sep 11 2013 15:51:06 GMT-0500 (Central Daylight Time)	Sun Sep 08 2013 02:00:00 GMT-0500 (Central Daylight Time)
The Epic of Gilgamesh: A New Translation	Anonymous	read	Tue Aug 20 2013 02:00:00 GMT-0500 (Central Daylight Time)	Wed Aug 28 2013 02:00:00 GMT-0500 (Central Daylight Time)
A Hologram for the King	Dave Eggers	read	Mon Aug 19 2013 02:00:00 GMT-0500 (Central Daylight Time)	Tue Aug 20 2013 02:00:00 GMT-0500 (Central Daylight Time)
The Necessary Marriage	Dumitru Țepeneag	read	Tue Aug 13 2013 02:00:00 GMT-0500 (Central Daylight Time)	Sat Aug 17 2013 02:00:00 GMT-0500 (Central Daylight Time)
Pale Fire	Vladimir Nabokov	read	Wed Aug 07 2013 02:00:00 GMT-0500 (Central Daylight Time)	Mon Aug 12 2013 02:00:00 GMT-0500 (Central Daylight Time)
Howards End	TKTK	read	Wed Jul 24 2013 02:00:00 GMT-0500 (Central Daylight Time)	Mon Aug 05 2013 14:47:32 GMT-0500 (Central Daylight Time)
The Pale King	David Foster Wallace	read	Thu Jul 11 2013 02:00:00 GMT-0500 (Central Daylight Time)	Wed Jul 24 2013 02:00:00 GMT-0500 (Central Daylight Time)
Catch-22 (Catch-22, #1)	Joseph Heller	read	--	Wed Jul 10 2013 07:39:47 GMT-0500 (Central Daylight Time)
Catch-22	TKTK	read	Fri Jun 21 2013 02:00:00 GMT-0500 (Central Daylight Time)	Wed Jul 10 2013 07:39:47 GMT-0500 (Central Daylight Time)
Indignation	Philip Roth	read	Thu Jun 20 2013 02:00:00 GMT-0500 (Central Daylight Time)	Fri Jun 21 2013 09:06:18 GMT-0500 (Central Daylight Time)
Gravity's Rainbow	Thomas Pynchon	read	Mon May 06 2013 02:00:00 GMT-0500 (Central Daylight Time)	Wed Jun 19 2013 15:02:29 GMT-0500 (Central Daylight Time)
The Sirens of Titan	TKTK	read	Fri Apr 26 2013 02:00:00 GMT-0500 (Central Daylight Time)	Mon May 06 2013 10:01:09 GMT-0500 (Central Daylight Time)
The Human Stain (The American Trilogy, #3)	Philip Roth	read	Tue Apr 16 2013 21:48:25 GMT-0500 (Central Daylight Time)	Wed Apr 24 2013 15:35:17 GMT-0500 (Central Daylight Time)
The Sound and the Fury	TKTK	read	Mon Apr 15 2013 02:00:00 GMT-0500 (Central Daylight Time)	Tue Apr 16 2013 02:00:00 GMT-0500 (Central Daylight Time)
Exile and the Kingdom	Albert Camus	read	Wed Apr 10 2013 02:00:00 GMT-0500 (Central Daylight Time)	Mon Apr 15 2013 11:31:31 GMT-0500 (Central Daylight Time)
Where Angels Fear to Tread	E.M. Forster	read	Sun Apr 07 2013 02:00:00 GMT-0500 (Central Daylight Time)	Tue Apr 09 2013 13:37:44 GMT-0500 (Central Daylight Time)
Only Revolutions	Mark Z. Danielewski	read	Thu Mar 28 2013 02:00:00 GMT-0500 (Central Daylight Time)	Sun Apr 07 2013 18:49:53 GMT-0500 (Central Daylight Time)
Civilization and Its Discontents	Sigmund Freud	read	Wed Mar 27 2013 00:01:53 GMT-0500 (Central Daylight Time)	Wed Mar 27 2013 00:01:53 GMT-0500 (Central Daylight Time)
The Devil in the White City	Erik Larson	read	Sat Mar 16 2013 02:00:00 GMT-0500 (Central Daylight Time)	Tue Mar 26 2013 02:00:00 GMT-0500 (Central Daylight Time)
World War Z: An Oral History of the Zombie War	Max Brooks	read	Sat Mar 16 2013 02:00:00 GMT-0500 (Central Daylight Time)	Sat Mar 16 2013 02:00:00 GMT-0500 (Central Daylight Time)
Is That a Fish in Your Ear? Translation and the Meaning of Everything	David Bellos	read	Sun Feb 17 2013 02:00:00 GMT-0600 (Central Standard Time)	Fri Mar 01 2013 09:24:58 GMT-0600 (Central Standard Time)
Amusing Ourselves to Death: Public Discourse in the Age of Show Business	Neil Postman	read	Sun Feb 17 2013 02:00:00 GMT-0600 (Central Standard Time)	Mon Feb 25 2013 13:47:55 GMT-0600 (Central Standard Time)
Out of the Silent Planet (The Space Trilogy, #1)	C.S. Lewis	read	Sun Feb 17 2013 15:40:33 GMT-0600 (Central Standard Time)	Sun Feb 17 2013 16:30:30 GMT-0600 (Central Standard Time)
Sum: Forty Tales from the Afterlives	David Eagleman	read	Sun Feb 17 2013 16:05:41 GMT-0600 (Central Standard Time)	Sun Feb 17 2013 16:05:41 GMT-0600 (Central Standard Time)
The Communist Manifesto	Karl Marx	read	Sun Feb 17 2013 15:56:54 GMT-0600 (Central Standard Time)	Sun Feb 17 2013 15:56:54 GMT-0600 (Central Standard Time)
